San Francisco,San Jose,Sacramento,Oakland,Walnut Creek,Association,Association Pool,BARI,BERD,CCRD,EBRD,MLS,MLSL,SACM,Week or Weekend,# of Rooms_n,# of Units_n,Association Total_n,Bathrooms_n,Bedrooms_n,Selling Date_n,DOM_n,Latitude_n,Longitude_n,On Market Date_n,Days_Between_n,Date of Week_n,Square Footage_n,Selling Price_n,SP%LP_n
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0023880597014925373,0.1430161943319838,0.25,0.375,0.5561643835616508,0.12758620689655173,0.9511355925020181,0.01118328509614619,0.8770242914979747,0.052690582959641255,0.9999999999999999,0.4824894936962177,0.24674559041442934,0.5557656976115855
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.06133603238866397,0.375,0.375,0.7287671232876676,0.027586206896551724,0.9206269095956364,0.015218216329821566,0.9240890688259107,0.02858744394618834,0.16666666666666666,0.48168901340804476,0.055942384601902456,0.5043769588241651
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0728744939271255,0.375,0.375,0.32328767123287605,0.017241379310344827,0.9533729482621452,0.010781220129769342,0.8461538461538467,0.033071748878923765,0.16666666666666666,0.47968781268761257,0.11927789550835712,0.5385820814870852
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.06427125506072874,0.375,0.25,0.6958904109589099,0.7551724137931034,0.9216503436328388,0.015181058399067804,0.6604251012145745,0.31390134529147984,0.8333333333333334,0.47968781268761257,0.19894520482465225,0.526423862531071
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.0023880597014925373,0.05546558704453441,0.375,0.375,0.657534246575338,0.21379310344827585,0.9700321521268029,0.016978363276189956,0.7737854251012131,0.18385650224215247,0.8333333333333334,0.4792875725435261,0.07307085610490592,0.5281530314492597
0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.16666666666666666,0.0014925373134328358,0.041700404858299595,0.5,0.375,0.8410958904109549,0.0396551724137931,0.9517377339168143,0.012210459547154162,0.9053643724696343,0.07230941704035874,0.9999999999999999,0.4772863718230938,0.1113111645767276,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.00029850746268656717,0.03997975708502024,0.375,0.5,0.6301369863013662,0.0,0.9500930820127378,0.011106869003770115,0.9240890688259107,0.008408071748878924,0.16666666666666666,0.46888132879727834,0.18779178152037093,0.5223170863503728
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.00029850746268656717,0.025303643724696356,0.25,0.375,0.6191780821917803,0.07758620689655173,0.9506034400228796,0.01092339768176831,0.904352226720647,0.028026905829596414,0.6666666666666666,0.4684810886531919,0.14277975175666416,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0005970149253731343,0.07439271255060728,0.375,0.5,0.19178082191780277,0.04310344827586207,0.9509824775489283,0.010877305692011618,0.8304655870445323,0.02242152466367713,0.8333333333333334,0.4682809685811487,0.21687034942081868,0.5130768399438019
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.13333333333333333,0.0020895522388059704,0.0860323886639676,0.375,0.375,0.7424657534246535,0.23620689655172414,0.9514628618724941,0.012324162815260498,0.8724696356275281,0.08912556053811659,0.6666666666666666,0.4682809685811487,0.11529453004254235,0.5367988760402032
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0.0,0.0,0.05890688259109311,0.5,0.375,0.6383561643835662,0.2482758620689655,0.9190467099260868,0.016165283128811492,0.8345141700404852,0.10986547085201794,0.9999999999999999,0.46587952771662994,0.08231226398559616,0.525072949313736
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.2,0.018805970149253733,0.030263157894736843,0.5,0.5,0.05753424657534367,0.027586206896551724,0.9490194653298317,0.015613536323985544,0.801619433198379,0.027466367713004484,0.6666666666666666,0.4652791675005003,0.07474386960054812,0.5379336431427645
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.00029850746268656717,0.0,0.375,0.375,0.12054794520547318,0.010344827586206896,0.9511859009818382,0.011071310479600971,0.8233805668016174,0.01569506726457399,0.8333333333333334,0.4644786872123274,0.21097496853141282,0.5698692316005619
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2,0.00029850746268656717,0.02580971659919028,0.25,0.375,0.824657534246569,0.14310344827586208,0.9509229328449492,0.010810308327300677,0.9109311740890682,0.06278026905829596,0.5,0.46367820692415446,0.17504501202976372,0.5077272236031557
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2,0.003582089552238806,0.2747975708502024,0.25,0.25,0.5232876712328789,0.03275862068965517,0.951128394790548,0.01118051440696155,0.9008097165991913,0.012892376681614349,0.6666666666666666,0.46267760656393836,0.2427622249486146,0.5461471955041608
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.05131578947368421,0.5,0.5,0.6082191780821944,0.06034482758620689,0.9399557597446191,0.014922366500722983,0.9048582995951406,0.026345291479820628,0.8333333333333334,0.4624774864918951,0.10892114529723874,0.5447962822868259
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.26666666666666666,0.008955223880597015,0.04483805668016194,0.5,0.5,0.810958904109583,0.006896551724137931,0.9490313692372631,0.01559591054031062,0.9473684210526301,0.020739910313901346,0.8333333333333334,0.46187712627576544,0.07785089466388363,0.5598184372635902
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4666666666666667,0.00029850746268656717,0.0,0.375,0.375,0.46027397260273517,0.0,0.9514164039166423,0.010988545227752722,0.9003036437246941,0.0033632286995515697,0.5,0.4602761656994196,0.2626790522776884,0.5367988760402032
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.04595141700404858,0.375,0.5,0.6904109589041099,0.0396551724137931,0.9372835716111386,0.016229469415282916,0.9048582995951406,0.04652466367713005,0.8333333333333334,0.45987592555533313,0.08071095106833863,0.5281530314492597
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.00044776119402985075,0.10718623481781377,0.375,0.375,0.169863013698631,0.041379310344827586,0.9514490452864904,0.010961056436806005,0.8340080971659916,0.014013452914798207,0.8333333333333334,0.4590754452671603,0.2626790522776884,0.5409056522209014
